benchmark,variant,method,query_id,prompt,gold_answer,predicted_answer,is_correct,exact_match,question_bucket,answer_type,is_comparative,failure_bucket,retrieval_support_recall_at_final_k,confidence,confidence_margin
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,37d43f65,How much RAM did I upgrade my laptop to?,16GB,huge performance boost,False,False,price,price,False,supported_but_wrong,1.0,0.26476164890387566,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,b86304ba,How much is the painting of a sunset worth in terms of the amount I paid for it?,The painting is worth triple what I paid for it.,unknown,False,False,price,price,False,confident_selection_error,1.0,0.1741251393873888,0.271845
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,d52b4f67,Where did I attend my cousin's wedding?,The Grand Ballroom,unknown,False,False,where,where,False,retrieval_miss,0.0,0.19005863829723407,0.46923099999999995
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,25e5aa4f,Where did I complete my Bachelor's degree in Computer Science?,"University of California, Los Angeles (UCLA)",unknown,False,False,where,where,False,confident_selection_error,1.0,0.19023728728159625,0.41481500000000004
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,caf9ead2,How long did it take to move to the new apartment?,5 hours,a few weeks,False,False,duration,duration,False,supported_but_wrong,1.0,0.18816643594227567,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,8550ddae,What type of cocktail recipe did I try last weekend?,lavender gin fizz,Cucumber Gimlet,False,False,item_name,item_name,False,supported_but_wrong,1.0,0.2007662258064066,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,60d45044,What type of rice is my favorite?,Japanese short-grain rice,unknown,False,False,item_name,item_name,False,confident_selection_error,1.0,0.19861326338923138,0.36144600000000005
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,3f1e9474,Who did I have a conversation with about destiny?,Sarah,Sarah,True,True,person_name,person_name,False,correct,1.0,0.4488817941697233,1.6112250000000001
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,86b68151,Where did I buy my new bookshelf from?,IKEA,unknown,False,False,where,where,False,supported_but_wrong,1.0,0.156432953465819,0.05208299999999999
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,577d4d32,What time do I stop checking work emails and messages?,7 pm,March 20th,False,False,time_of_day,time_of_day,False,retrieval_miss,0.0,0.16977792873029698,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,ec81a493,How many copies of my favorite artist's debut album were released worldwide?,500,unknown,False,False,quantity,quantity,False,confident_selection_error,1.0,0.1980009938831354,0.30434799999999995
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,15745da0,How long have I been collecting vintage cameras?,three months,you haven't been collecting vintage cameras,False,False,duration,duration,False,supported_but_wrong,1.0,0.22277901378098922,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,e01b8e2f,Where did I go on a week-long trip with my family?,Hawaii,unknown,False,False,where,where,False,confident_selection_error,1.0,0.18634967937899757,0.419443
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,bc8a6e93,What did I bake for my niece's birthday party?,a lemon blueberry cake,unknown,False,False,event_name,event_name,False,supported_but_wrong,1.0,0.16594199682334992,0.045872000000000024
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,ccb36322,What is the name of the music streaming service have I been using lately?,Spotify,Netflix,False,False,title_or_name,title_or_name,False,confident_selection_error,1.0,0.2736239268444732,0.503401
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,001be529,How long did I wait for the decision on my asylum application?,over a year,unknown,False,False,duration,duration,False,confident_selection_error,1.0,0.220444686526802,0.333333
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,b320f3f8,What type of action figure did I buy from a thrift store?,a blue Snaggletooth,Snaggletooth action figure,False,False,item_name,item_name,False,supported_but_wrong,1.0,0.2141249080419019,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,19b5f2b3,How long was I in Japan for?,two weeks,unknown,False,False,duration,duration,False,supported_but_wrong,1.0,0.22717400498387877,0.153061
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,4fd1909e,Where did I attend the Imagine Dragons concert?,Xfinity Center,recently,False,False,where,where,False,supported_but_wrong,1.0,0.20682195144711416,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,545bd2b5,How much screen time have I been averaging on Instagram per day?,2 hours,2,False,False,price,price,False,supported_but_wrong,1.0,0.22275689405627808,0.149351
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,8a137a7f,What type of bulb did I replace in my bedside lamp?,Philips LED bulb,table lamp,False,False,item_name,item_name,False,supported_but_wrong,1.0,0.1940314079296838,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,76d63226,What size is my new Samsung TV?,55-inch,2.75lbs,False,False,size,size,False,supported_but_wrong,1.0,0.17906105225125055,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,86f00804,What book am I currently reading?,The Seven Husbands of Evelyn Hugo,The Seven Husbands of Evelyn Hugo,True,True,title_or_name,title_or_name,False,correct,1.0,0.2605751373370584,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,8e9d538c,How many skeins of worsted weight yarn did I find in my stash?,17,unknown,False,False,quantity,quantity,False,confident_selection_error,1.0,0.31134096442269754,0.559165
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,311778f1,How many hours did I spend watching documentaries on Netflix last month?,10,"I've been watching a lot of documentaries on Netflix, especially on space exploration and artificial intelligence - it's crazy how much I learned from that series",False,False,quantity,quantity,False,supported_but_wrong,1.0,0.1959860301331256,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,c19f7a0b,What time do I usually get home from work on weeknights?,6:30 pm,unknown,False,False,time_of_day,time_of_day,False,confident_selection_error,1.0,0.17501625095483517,0.22340400000000005
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,4100d0a0,What is my ethnicity?,A mix of Irish and Italian,unknown,False,False,generic,generic,False,supported_but_wrong,1.0,0.17228581042009644,0.019139000000000017
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,29f2956b,How much time do I dedicate to practicing guitar every day?,30 minutes,30,False,False,price,price,False,confident_selection_error,1.0,0.48610840473861533,1.807388
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,1faac195,Where does my sister Emily live?,Denver,unknown,False,False,where,where,False,supported_but_wrong,1.0,0.16547399343325367,0.007194000000000034
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,faba32e5,How long did Alex marinate the BBQ ribs in special sauce?,24 hours,unknown,False,False,duration,duration,False,confident_selection_error,1.0,0.22853084901405343,0.47488600000000003
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,f4f1d8a4,Who gave me a new stand mixer as a birthday gift?,my sister,unknown,False,False,person_name,person_name,False,retrieval_miss,0.0,0.1925879707487824,0.15454500000000004
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,c14c00dd,What brand of shampoo do I currently use?,Trader Joe's,unknown,False,False,brand,brand,False,confident_selection_error,1.0,0.16402185309814504,0.20945899999999995
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,36580ce8,What health issue did I initially think was just a cold?,bronchitis,health issues,False,False,generic,generic,False,supported_but_wrong,1.0,0.178589476327254,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,3d86fd0a,Where did I meet Sophia?,a coffee shop in the city,unknown,False,False,where,where,False,supported_but_wrong,1.0,0.21034148643097828,0.07970999999999995
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,a82c026e,What game did I finally beat last weekend?,Dark Souls 3 DLC,unknown,False,False,title_or_name,title_or_name,False,confident_selection_error,1.0,0.18390383062978616,0.26190500000000005
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,0862e8bf_abs,What is the name of my hamster?,You did not mention this information. You mentioned your cat Luna but not your hamster.,unknown,False,False,pet_name,pet_name,False,supported_but_wrong,1.0,0.17657245112511952,0.09999999999999998
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,15745da0_abs,How long have I been collecting vintage films?,You did not mention this information. You mentioned collecting vintage cameras but not vintage films.,unknown,False,False,duration,duration,False,confident_selection_error,1.0,0.1997777112509662,0.563707
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,bc8a6e93_abs,What did I bake for my uncle's birthday party?,You did not mention this information. You mentioned baking for your niece's birthday party but not your uncle's,lemon-based desserts,False,False,event_name,event_name,False,supported_but_wrong,1.0,0.18817941701946114,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,19b5f2b3_abs,How long was I in Korea for?,"You did not mention this information. You mentioned staying in Japan, but not in Korea.",unknown,False,False,duration,duration,False,supported_but_wrong,1.0,0.1614411685461491,0.17857100000000004
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,29f2956b_abs,How much time do I dedicate to practicing violin every day?,"You did not mention this information. You mentioned practing guitar everyday, but not violin.",30,False,False,price,price,False,confident_selection_error,1.0,0.36861296225564577,1.0
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,f4f1d8a4_abs,What did my dad gave me as a birthday gift?,"You did not mention this information. You mentioned receiving a birthday gift from your sister, but not your dad.",an old coffee table,False,False,generic,generic,False,retrieval_miss,0.0,0.1702033604931553,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,0a995998,How many items of clothing do I need to pick up or return from a store?,3,One,False,False,quantity,quantity,False,supported_but_wrong,1.0,0.21062218906540878,0.19594599999999995
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,6d550036,How many projects have I led or am currently leading?,2,1,False,False,quantity,quantity,False,confident_selection_error,0.75,0.3275130748093624,0.756183
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,gpt4_59c863d7,How many model kits have I worked on or bought?,"I have worked on or bought five model kits. The scales of the models are: Revell F-15 Eagle (scale not mentioned), Tamiya 1/48 scale Spitfire Mk.V, 1/16 scale German Tiger I tank, 1/72 scale B-29 bomber, and 1/24 scale '69 Camaro.",200,False,False,quantity,quantity,False,supported_but_wrong,1.0,0.189141106850474,0.17500000000000004
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,b5ef892d,How many days did I spend on camping trips in the United States this year?,8 days.,5,False,False,quantity,quantity,False,confident_selection_error,1.0,0.28151371386798735,0.709497
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,e831120c,How many weeks did it take me to watch all the Marvel Cinematic Universe movies and the main Star Wars films?,3.5 weeks,two weeks,False,False,quantity,quantity,False,confident_selection_error,1.0,0.45644981389709205,1.076379
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,3a704032,How many plants did I acquire in the last month?,3,two,False,False,quantity,quantity,False,supported_but_wrong,1.0,0.18578513117175213,0.125
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,gpt4_d84a3211,How much total money have I spent on bike-related expenses since the start of the year?,$185,unknown,False,False,price,price,False,confident_selection_error,1.0,0.4031784522988961,0.522581
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,aae3761f,How many hours in total did I spend driving to my three road trip destinations combined?,15 hours for getting to the three destinations (or 30 hours for the round trip),four hours,False,False,quantity,quantity,False,confident_selection_error,1.0,0.3393355073844974,0.914793
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,gpt4_f2262a51,How many different doctors did I visit?,"I visited three different doctors: a primary care physician, an ENT specialist, and a dermatologist.",2,False,False,quantity,quantity,False,confident_selection_error,0.6666666666666666,0.29845543521629697,0.330827
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,dd2973ad,What time did I go to bed on the day before I had a doctor's appointment?,2 AM,2 AM,True,True,time_of_day,time_of_day,False,correct,1.0,0.28276323588851426,0.56917
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,c4a1ceb8,How many different types of citrus fruits have I used in my cocktail recipes?,3,3,True,True,quantity,quantity,False,correct,1.0,0.20686224321294455,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,gpt4_a56e767c,How many movie festivals that I attended?,I attended four movie festivals.,2,False,False,quantity,quantity,False,confident_selection_error,1.0,0.4336068495819888,0.9156010000000001
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,6cb6f249,How many days did I take social media breaks in total?,17 days,30 minutes,False,False,quantity,quantity,False,confident_selection_error,1.0,0.32674288282563485,0.5136749999999999
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,46a3abf7,"How many tanks do I currently have, including the one I set up for my friend's kid?",3,20,False,False,quantity,quantity,False,confident_selection_error,1.0,0.3988700889113962,0.8736839999999999
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,36b9f61e,What is the total amount I spent on luxury items in the past few months?,"$2,500",unknown,False,False,generic,generic,False,confident_selection_error,1.0,0.1871805851132595,0.24825200000000003
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,28dc39ac,How many hours have I spent playing games in total?,140 hours,30 hours,False,False,quantity,quantity,False,confident_selection_error,1.0,0.27354762498185786,0.3449739999999999
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,gpt4_2f8be40d,How many weddings have I attended in this year?,"I attended three weddings. The couples were Rachel and Mike, Emily and Sarah, and Jen and Tom.",2,False,False,quantity,quantity,False,confident_selection_error,1.0,0.27533903338556315,0.3302750000000001
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,2e6d26dc,How many babies were born to friends and family members in the last few months?,5,"At least 4 babies were born to friends and family members in the last few months: Jasper, Charlotte, Ava, and Lily.",False,False,quantity,quantity,False,supported_but_wrong,1.0,0.18973745647281381,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,gpt4_15e38248,"How many pieces of furniture did I buy, assemble, sell, or fix in the past few months?",4,two months,False,False,quantity,quantity,False,confident_selection_error,0.75,0.3822865609822876,0.6701029999999999
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,88432d0a,How many times did I bake something in the past two weeks?,4,2017,False,False,quantity,quantity,False,supported_but_wrong,0.75,0.1567300708998737,0.0208330000000001
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,80ec1f4f,How many different museums or galleries did I visit in the month of February?,2,200,False,False,quantity,quantity,False,confident_selection_error,1.0,0.27966991863070434,0.5128199999999998
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,d23cf73b,How many different cuisines have I learned to cook or tried out in the past few months?,4,three months,False,False,quantity,quantity,False,confident_selection_error,1.0,0.23228471040241092,0.41304300000000005
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,gpt4_7fce9456,How many properties did I view before making an offer on the townhouse in the Brookside neighborhood?,"I viewed four properties before making an offer on the townhouse in the Brookside neighborhood. The reasons I didn't make an offer on them were: the kitchen of the bungalow needed serious renovation, the property in Cedar Creek was out of my budget, the noise from the highway was a deal-breaker for the 1-bedroom condo, and my offer on the 2-bedroom condo was rejected due to a higher bid.",unknown,False,False,quantity,quantity,False,confident_selection_error,1.0,0.32341487877194125,0.7096370000000001
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,d682f1a2,How many different types of food delivery services have I used recently?,3,20,False,False,quantity,quantity,False,supported_but_wrong,1.0,0.2050685063179649,0.11711699999999992
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,7024f17c,How many hours of jogging and yoga did I do last week?,0.5 hours,unknown,False,False,quantity,quantity,False,confident_selection_error,1.0,0.25588743537066133,0.317647
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,gpt4_5501fe77,Which social media platform did I gain the most followers on over the past month?,TikTok,TikTok,True,True,generic,generic,False,correct,1.0,0.17574206935638198,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,gpt4_2ba83207,Which grocery store did I spend the most money at in the past month?,Thrive Market,Thrive Market,True,True,generic,generic,False,correct,1.0,0.1692227566026957,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,2318644b,How much more did I spend on accommodations per night in Hawaii compared to Tokyo?,$270,7,False,False,price,price,False,supported_but_wrong,1.0,0.18823587173789705,0.012270000000000003
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,2ce6a0f2,How many different art-related events did I attend in the past month?,4,Street Art Festivals 2000s present Events like Nuart,False,False,quantity,quantity,False,supported_but_wrong,1.0,0.2015786034744069,0.16891900000000004
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,gpt4_d12ceb0e,"What is the average age of me, my parents, and my grandparents?",59.6,"32, 55, 75",False,False,generic,generic,False,supported_but_wrong,1.0,0.18469823873412097,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,00ca467f,How many doctor's appointments did I go to in March?,2,March 20th,False,False,quantity,quantity,False,confident_selection_error,1.0,0.32821518021652857,0.319728
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,b3c15d39,How many days did it take for me to receive the new remote shutter release after I ordered it?,5 days. 6 days (including the last day) is also acceptable.,one,False,False,quantity,quantity,False,confident_selection_error,1.0,0.34287592592003463,0.7377330000000002
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,gpt4_31ff4165,How many health-related devices do I use in a day?,4,24,False,False,quantity,quantity,False,supported_but_wrong,0.6,0.18835769487997805,0.07079600000000008
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,eeda8a6d,How many fish are there in total in both of my aquariums?,17,1,False,False,quantity,quantity,False,supported_but_wrong,1.0,0.20595373634304742,0.0068029999999998925
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,2788b940,How many fitness classes do I attend in a typical week?,5,2,False,False,quantity,quantity,False,supported_but_wrong,0.5,0.24638192241429896,0.19999999999999996
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,60bf93ed,How many days did it take for my laptop backpack to arrive after I bought it?,5 days. 6 days (including the last day) is also acceptable.,1,False,False,quantity,quantity,False,confident_selection_error,1.0,0.3635131949530878,0.6628700000000001
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,9d25d4e0,How many pieces of jewelry did I acquire in the last two months?,3,2,False,False,quantity,quantity,False,confident_selection_error,1.0,0.2370429199023977,0.39097700000000013
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,129d1232,How much money did I raise in total through all the charity events I participated in?,"$5,850",600,False,False,price,price,False,confident_selection_error,1.0,0.45987870703757533,1.3305609999999999
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,60472f9c,"How many projects have I been working on simultaneously, excluding my thesis?",2,20,False,False,quantity,quantity,False,confident_selection_error,1.0,0.18071720081576642,0.24449900000000002
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,gpt4_194be4b3,How many musical instruments do I currently own?,"I currently own 4 musical instruments. I've had the Fender Stratocaster electric guitar for 5 years, the Yamaha FG800 acoustic guitar for 8 years, the 5-piece Pearl Export drum set for an unspecified amount of time, and the Korg B1 piano for 3 years.",100,False,False,quantity,quantity,False,confident_selection_error,1.0,0.3175030042788023,0.763889
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,a9f6b44c,How many bikes did I service or plan to service in March?,2,27,False,False,quantity,quantity,False,supported_but_wrong,1.0,0.2903359921587117,0.15853699999999993
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,d851d5ba,How much money did I raise for charity in total?,"$3,750",2,False,False,price,price,False,supported_but_wrong,1.0,0.22034169442203236,0.06830899999999995
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,5a7937c8,How many days did I spend participating in faith-related activities in December?,3 days.,December 24th,False,False,quantity,quantity,False,supported_but_wrong,1.0,0.2236874548547663,0.19895299999999994
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,gpt4_ab202e7f,How many kitchen items did I replace or fix?,"I replaced or fixed five items: the kitchen faucet, the kitchen mat, the toaster, the coffee maker, and the kitchen shelves.",two,False,False,quantity,quantity,False,confident_selection_error,0.6,0.22598049893786698,0.2352939999999999
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,gpt4_e05b82a6,How many times did I ride rollercoasters across all the events I attended from July to October?,10 times,three,False,False,quantity,quantity,False,confident_selection_error,1.0,0.2983390206787815,0.4537039999999999
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,gpt4_731e37d7,How much total money did I spend on attending workshops in the last four months?,$720,seven,False,False,price,price,False,supported_but_wrong,1.0,0.1692076995866207,0.008008000000000015
